ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviation,,"ಸಂಕ್ಷಿಪ್ತ, ಸಂಕ್ಷಿಪ್ತ ರೂಪ, ಸಂಕ್ಷೇಪ, ಸಂಕ್ಷೇಪ ಮಾಡುವುದು, ಸಂಗ್ರಹ, ಸಂಕ್ಷೇಪನ",,,,,,,
,,Abeyance,,"ಅಮಾನತ್ತು, ತಡೆಗಡೆ, ಜಾರಿಗೆ ಬರದಂತೆ ತಡೆಯುವುದು, ತಡೆಹಿಡಿಯುವುದು.",,,,,,,
,,Absence,,"1. ಗೈರು ಹಾಜರಿ 2. ಖಾಲಿಜಾಗ, ತೆರವಿದ್ದ ಸ್ಥಾನ 3. ಅಭಾವ, ಕೊರತೆ 4. ಶೂನ್ಯ",,,,,,,
,,Absence without permission,,ಅನುಮತಿ ಇಲ್ಲದೆ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absent without leave (Absence without leave),,ರಜೆ ಪಡೆಯದೆ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absentee statement,,"ಗೈರುಹಾಜರಿ ಪಟ್ಟಿ, ಗೈರುಹಾಜರಿ ತಃಖ್ತೆ",,,,,,,
,,Abstract,,"ಗೋಷ್ವಾರೆ, ಸಂಗ್ರಹ, ಸಾರಾಂಶ, ಸಂಕ್ಷಿಪ್ತ",,,,,,,
,,Abstract bill,,"ಸಂಕ್ಷಿಪ್ತ ಪತ್ರ/ಬಿಲ್ಲು, ಸಂಕ್ಷಿಪ್ತ ಬೆಲೆ ಪಟ್ಟಿ",,,,,,,
,,Abstract book,,"ಗೋಷ್ವಾರೆ ಪುಸ್ತಕ, ಸಂಗ್ರಹ ಪುಸ್ತಕ, ಸಂಕ್ಷಿಪ್ತ ಪುಸ್ತಕ",,,,,,,
,,Abstract contingent bill,,ಸಂಕ್ಷಿಪ್ತ ಸಾದಿಲ್ವಾರು ಬಿಲ್ಲು/ಪತ್ರ,,,,,,,
,,Abstract of account,,"ಲೆಕ್ಕದ ಗೋಷ್ವಾರೆ, ಸಂಕ್ಷಿಪ್ತ ಲೆಕ್ಕ",,,,,,,
,,Accept a bill,,"ಪತ್ರ ಸ್ವೀಕರಿಸು/ಒಪ್ಪಿಕೊ, ಬಿಲ್ಲು ಸ್ವೀಕರಿಸು/ಒಪ್ಪಿಕೊ",,,,,,,
,,Acceptance certificate,,"ಒಪ್ಪಿಗೆ ಪತ್ರ, ಅಂಗೀಕಾರ ಪತ್ರ, ಸ್ವೀಕಾರ ಪತ್ರ",,,,,,,
,,Acceptance in principle,,ತತ್ತ್ವಶಃ ಒಪ್ಪಿಗೆ,,,,,,,
,,"Acceptance, conditional",,ಷರತ್ತು ಸಹಿತ ಒಪ್ಪಿಗೆ,,,,,,,
,,"Acceptance, implied",,"ಅಡಕವಾಗಿರುವ ಒಪ್ಪಿಗೆ, ಸೂಚ್ಯ ಒಪ್ಪಿಗೆ",,,,,,,
,,Accord sanction to,,"ಮಂಜೂರಾತಿ ಕೊಡುವುದು/ನೀಡಿಕೆ, ಮಂಜೂರಾತಿ ನೀಡುವುದು, ಮಂಜೂರು ಮಾಡುವುದು",,,,,,,
,,According interest,,"ಬೆಳೆದು ಬರುವ ಬಡ್ಡಿ, ಪ್ರಾಪ್ತವಾಗುವ ಬಡ್ಡಿ, ಹೆಚ್ಚಳವಾಗಿ ಬರುವ ಬಡ್ಡಿ",,,,,,,
,,According priority to,,"ಆದ್ಯತೆ ಕೊಡುವುದು, ಆದ್ಯತೆ ನೀಡಿಕೆ",,,,,,,
,,According to rule,,ನಿಯಮಾನುಸಾರವಾಗಿ,,,,,,,
,,Account,,"ಖಾತೆ, ಲೆಕ್ಕಖಾತೆ, ಲೆಕ್ಕಪತ್ರ, ಲೆಕ್ಕದ ಗೋಷ್ವಾರೆ",,,,,,,
,,Account book,,"ಲೆಕ್ಕ ಪುಸ್ತಕ, ಖಾತೆ ಪುಸ್ತಕ",,,,,,,
,,Account code,,"ಖಾತೆ ನಿಯಮಾವಳಿ, ಲೆಕ್ಕ ನಿಯಮಾವಳಿ/ ಸಂಹಿತೆ, ಲೇಖಾ ಸಂಹಿತೆ",,,,,,,
,,Account payee,,ಗ್ರಾಹಕರ ಲೆಕ್ಕಕ್ಕೆ ಜಮಾಮಾಡು,,,,,,,
,,Accountant,,"ಲೆಕ್ಕಿಗ, ಲೆಕ್ಕ ಗುಮಾಸ್ತ, ಲೇಖಾಪಾಲ",,,,,,,
,,Accountant General,,"ಮಹಾಲೆಕ್ಕಿಗ, ಮಹಾ ಲೇಖಪಾಲ",,,,,,,
,,Accounts,,"ಲೆಕ್ಕ, ಲೆಕ್ಕಪತ್ರಗಳು",,,,,,,
,,Accounts clerk,,ಲೆಕ್ಕ ಗುಮಾಸ್ತ,,,,,,,
,,Accounts with Reserve Bank,,ರಿಸರ್ವ್‌ ಬ್ಯಾಂಕಿನಲ್ಲಿ ಲೆಕ್ಕ,,,,,,,
,,Accrual,,"ಪ್ರಾಪ್ತಿ, ಹೆಚ್ಚಳ",,,,,,,
,,Accrue,,"ಪ್ರಾಪ್ತವಾಗು, ಕೂಡಿಬರು, ಉಂಟಾಗು",,,,,,,
,,Accumulated,,"ಸಂಚಿತ, ಒಟ್ಟುಗೂಡಿದ, ಶೇಖರಿಸಿದ, ಸಂಗ್ರಹಿಸಿದ",,,,,,,
,,Accuracy,,"ನಿಖರತೆ, ಖಚಿತತೆ, ಕರಾರುವಕ್ಕು, ನಿಷ್ಕೃಷ್ಟತೆ, ನಿರ್ದಿಷ್ಟತೆ",,,,,,,
,,Accurate,,"ಕರಾರುವಕ್ಕಾದ, ಸರಿಯಾದ, ನಿಷ್ಕೃಷ್ಟವಾದ",,,,,,,
,,Acknowledge,,"1. ಸ್ವೀಕಾರಮಾಡು, ಒಪ್ಪಿಕೊ, ಅಂಗೀಕರಿಸು, ಸಂದಿದೆಯೆಂದು ತಿಳಿಸು, ಸಲ್ಲಿಕೆ ಕೊಡು, ತಲಪಿದ್ದಕ್ಕೆ ತಿಳಿಸು 2. ಕೃತಜ್ಞತೆಯಿಂದ ಸ್ಮರಿಸು",,,,,,,
,,Acknowledgement,,"ಪಾವತಿ ಪತ್ರ, ಸ್ವೀಕೃತಿ, ಸ್ವೀಕಾರ, ಒಪ್ಪಿಗೆ, ರಸೀತಿ, ಸಲ್ಲಿಕೆ, ಪಾವತಿ",,,,,,,
,,Acknowledgement at source,,"ಮೂಲದಲ್ಲಿಯೇ ಪಾವತಿ, ಸ್ಥಳದಲ್ಲಿಯೇ ಪಾವತಿ",,,,,,,
,,Acknowledgement card,,ಪಾವತಿ ಪತ್ರ/ಚೀಟಿ,,,,,,,
,,Acknowledgement portion,,ಸ್ವೀಕಾರ ಭಾಗ/ ಅಂಶ,,,,,,,
,,Acquittance,,"ಪಾವತಿ, ಸಲ್ಲಿಕೆಯ ಚೀಟಿ, ರಸೀತಿ, ಫೈಸಲು ಚೀಟಿ",,,,,,,
,,Acquittance roll,,"ಸ್ವೀಕೃತಿ ಪಟ್ಟಿ, ವೇತನ ಸ್ವೀಕೃತಿ ಪಟ್ಟಿ, ಪಾವತಿ ಪಟ್ಟಿ, ವೇತನ ಪಟ್ಟಿ, ವೇತನ ರಿಜಿಸ್ಟರ್",,,,,,,
,,Acting allowance,,ಕಾರ್ಯ ಭತ್ಯೆ,,,,,,,
,,Active consideration,,"ತೀವ್ರ ಪರಿಶೀಲನೆ, ಸಕ್ರಿಯ ಪರಿಶೀಲನೆ",,,,,,,
,,Actual cost,,"ವಾಸ್ತವಿಕ ವೆಚ್ಚ, ನಿಜಬೆಲೆ",,,,,,,
,,Acute,,"ತೀವ್ರ , ತೀಕ್ಷ್ಣ",,,,,,,
,,Acute shortage,,ತೀವ್ರ ಕೊರತೆ/ಅಭಾವ,,,,,,,
,,Adder,,"ಸಂಕಲನ ಮಾಡುವ ಯಂತ್ರ, ಸಂಕಲಕ, ಸಂಕಲಕ ಯಂತ್ರ",,,,,,,
,,Additional profit,,"ಹೆಚ್ಚುವರಿ ಲಾಭ, ಅಧಿಕ ಲಾಭ",,,,,,,
,,Adequate,,"ಸಾಕಷ್ಟು, ತಕ್ಕಷ್ಟು",,,,,,,
,,Adequate data,,ಸಾಕಷ್ಟು ಮಾಹಿತಿ,,,,,,,
,,Adequate supply,,ಸಾಕಷ್ಟು ಸರಬರಾಜು,,,,,,,
,,Adhesive stamp,,ಅಂಟು ಚೀಟಿ/ಸ್ಟಾಂಪು,,,,,,,
,,Ad-hoc payment,,"ತದರ್ಥಕ ಪಾವತಿ, ತತ್ಪೂರ್ವ ಪಾವತಿ, ಅಡ್‌ಹಾಕ್‌ ಪಾವತಿ",,,,,,,
,,Adjusting account between Central and State Governments,,ಕೇಂದ್ರ ಮತ್ತು ರಾಜ್ಯ ಸರ್ಕಾರಗಳ ಹೊಂದಾಣಿಕೆ ಲೆಕ್ಕ,,,,,,,
,,Adjusting account with Defence,,ರಕ್ಷಣಾ ಇಲಾಖೆಯ ಹೊಂದಾಣಿಕೆ ಲೆಕ್ಕ,,,,,,,
,,Adjusting account with Railways,,ರೈಲ್ವೆ ಹೊಂದಾಣಿಕೆ ಲೆಕ್ಕ,,,,,,,
,,Adjusting accounting with Post and Telegraph,,ಅಂಚೆ ಮತ್ತು ತಂತಿ ಇಲಾಖೆಯ ಹೊಂದಾಣಿಕೆ ಲೆಕ್ಕ,,,,,,,
,,Adjusting by book transfer,,"ವರ್ಗಮೂಲಕ ಹೊಂದಾಣಿಕೆ, ಪುಸ್ತಕ ವರ್ಗಾವಣೆ ಮೂಲಕ ಹೊಂದಾಣಿಕೆ",,,,,,,
,,Adjusting entry,,ಹೊಂದಾಣಿಕೆ ನಮೂದು,,,,,,,
,,Adjustment by transfer,,"ವರ್ಗಮೂಲಕ ಹೊಂದಾಣಿಕೆ, ವರ್ಗಾವಣೆ ಮೂಲಕ ಹೊಂದಾಣಿಕೆ",,,,,,,
,,Adjustment of account,,ಲೆಕ್ಕ/ಖಾತೆ ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Administrator of local bodies,,ಸ್ಥಳೀಯ ಸಂಸ್ಥೆಗಳ/ನಿಕಾಯಗಳ ಆಡಳಿತಗಾರ,,,,,,,
,,Administrators of local fund accounts,,ಸ್ಥಳೀಯ ನಿಧಿಯ/ಲೋಕಲ್‌ ಫಂಡ್‌ ಲೆಕ್ಕಪತ್ರಗಳ ಆಡಳಿತಗಾರರು,,,,,,,
,,Adopt,,"ಅಂಗೀಕಾರಮಾಡು, ಸ್ವೀಕಾರಮಾಡು, ಅಂಗೀಕರಿಸು",,,,,,,
,,Advance,,ಮುಂಗಡ,,,,,,ನಾಮಪದ,
,,Advance,,ಮುಂಗಡ ಕೊಡು,,,,,,ಕ್ರಿಯಾಪದ,
,,Advance Copy,,"ಮುಂಗಡ ಪ್ರತಿ, ಮುಂಪ್ರತಿ",,,,,,,
,,Advance of pay,,ಮುಂಗಡ ವೇತನ,,,,,,,
,,Advance payment,,"ಮುಂಗಡ ನೀಡಿಕೆ, ಮುಂಗಡ ಹಣಸಂದಾಯ, ಮುಂಗಡ ಬಟವಾಡೆ",,,,,,,
,,Advance T. A.,,ಮುಂಗಡ ಪ್ರಯಾಣ ಭತ್ಯೆ,,,,,,,
,,Advances bearing interest,,"ಬಡ್ಡಿಯಿರುವ ಮುಂಗಡ, ಬಡ್ಡಿ ಸಹಿತ ಮುಂಗಡ",,,,,,,
,,Advances not bearing interest,,"ಬಡ್ಡಿಯಿಲ್ಲದ ಮುಂಗಡ, ಬಡ್ಡಿ ರಹಿತ ಮುಂಗಡ",,,,,,,
,,Adverse,,"ಪ್ರತಿಕೂಲ, ವಿರುದ್ಧ, ಬಾಧಕ, ವ್ಯತಿರಿಕ್ತ",,,,,,,
,,Adverse entry,,ಪ್ರತಿಕೂಲ ದಾಖಲೆ/ನಮೂದು,,,,,,,
,,Adverse remark/report,,"ಪ್ರತಿಕೂಲ ಟೀಕೆ/ವರದಿ, ಪ್ರತಿಕೂಲ ಷರಾ",,,,,,,
,,Advice,,"ಸಲಹೆ, ಸೂಚನೆ, ತಿಳಿವಳಿಕೆ",,,,,,,
,,Advice list,,"ಸೂಚನಾ ಪಟ್ಟಿ, ಸಲಹೆ ಪಟ್ಟಿ",,,,,,,
,,Advice note,,ಸಲಹಾ ಟಿಪ್ಪಣಿ,,,,,,,
,,Advice of payment,,ಪಾವತಿ ಸೂಚನೆ,,,,,,,
,,Advice of transfer of pension,,ಪಿಂಚಣಿ/ವಿಶ್ರಾಂತಿ ವೇತನ ವರ್ಗಾವಣೆಯ ಸೂಚನೆ,,,,,,,
,,Affidavit,,"ಶಪಥಪತ್ರ, ಪ್ರಮಾಣಪತ್ರ, ಅಫಿದಾವಿತ್ತು",,,,,,,
,,Afloat,,"1. ಪ್ರಚಾರಕ್ಕೆ ತರು, ಚಲಾವಣೆಗೆ ತರು 2. ಪ್ರಚಾರದಲ್ಲಿ, ಚಲಾವಣೆಯಲ್ಲಿ",,,,,,,
,,Aforesaid,,"ಹಿಂದೆ ಹೇಳಿದ, ಪೂರ್ವೋಕ್ತ",,,,,,,
,,Agency,,"ನಿಯೋಗ, ಅಭಿಕರಣ, ಏಜೆನ್ಸಿ",,,,,,,
,,Agency Bank,,ಏಜೆನ್ಸಿ ಬ್ಯಾಂಕ್,,,,,,,
,,Agenda,,ಕಾರ್ಯಸೂಚಿ,,,,,,,
,,Agent,,"ಪ್ರತಿನಿಧಿ, ಅಭಿಕರ್ತ, ಏಜೆಂಟ್",,,,,,,
,,Aggregate value,,ಒಟ್ಟು ಮೌಲ್ಯ,,,,,,,
,,Agreement,,"ಕರಾರು, ಒಪ್ಪಂದ, ಒಡಂಬಡಿಕೆ",,,,,,,
,,Aid(s),,"ಸಹಾಯ, ನೆರವು",,,,,,,
,,Allotment,,"ಹಂಚಿಕೆ, ವಂಟನ, ನಿಗದಿ",,,,,,,
,,Allotment book,,"ಹಂಚಿಕೆ ಪುಸ್ತಕ, ಹಸುಗೆ ಪುಸ್ತಕ, ವಂಟನ ಪುಸ್ತಕ",,,,,,,
,,Allotment of funds,,"ಹಣದ ಹಂಚಿಕೆ, ನಿಧಿಯ ಹಂಚಿಕೆ",,,,,,,
,,Allotment order,,ಹಂಚಿಕೆ ಆದೇಶ,,,,,,,
,,Allowance,,"1. ಭತ್ಯೆ, ಭತ್ತೆ 2. ಅನುಮತಿ 3. ಮಾಫಿ",,,,,,,
,,Alphabetical list,,ಅಕಾರಾದಿ ಪಟ್ಟಿ,,,,,,,
,,Alteration,,"ಪರಿವರ್ತನೆ, ಬದಲಾವಣೆ, ಮಾರ್ಪಾಟು",,,,,,,
,,Alteration in accounts,,"ಲೆಕ್ಕದಲ್ಲಿ ಬದಲಾವಣೆ, ಖಾತೆಯಲ್ಲಿ ಬದಲಾವಣೆ",,,,,,,
,,Alteration memorandum,,ಬದಲಾವಣೆ ಪತ್ರ/ಜ್ಞಾಪನ ಪತ್ರ,,,,,,,
,,Alternative method,,"ಬದಲಿ ರೀತಿ/ಪದ್ಧತಿ, ಪರ್ಯಾಯ ರೀತಿ, ಪದ್ಧತಿ",,,,,,,
,,Amenities fund,,"ಸೌಲಭ್ಯ ನಿಧಿ, ಸೌಕರ್ಯ ನಿಧಿ",,,,,,,
,,Amount,,"ಮೊಬಲಗು, ಮೊತ್ತ",,,,,,,
,,Amount claimed,,ಕ್ಲೈಮು ಮಾಡಿದ ಮೊಬಲಗು,,,,,,,
,,Annual,,ವಾರ್ಷಿಕ,,,,,,,
,,Annual financial statement,,"ವಾರ್ಷಿಕ ಹಣಕಾಸು ವಿವರಣೆ, ವಾರ್ಷಿಕ ಆರ್ಥಿಕ/ವಿತ್ತ ವಿವರಣೆ",,,,,,,
,,Annual interest statement,,"ವಾರ್ಷಿಕ ಬಡ್ಡಿ ವಿವರಣೆ, ವಾರ್ಷಿಕ ಬಡ್ಡಿ ತಃಖ್ತೆ",,,,,,,
,,Annual report,,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,
,,Annual return,,"1. ವಾರ್ಷಿಕ ಲೆಕ್ಕ ವಿವರಣೆ, ವಾರ್ಷಿಕ ಲೆಕ್ಕ ವರದಿ 2. ವಾರ್ಷಿಕ ಸಲ್ಲಿಕೆ",,,,,,,
,,Annual review on working of Treasuries,,ಖಜಾನೆ ಕಾರ್ಯದ ವಾರ್ಷಿಕ ಪರಿಶೀಲನೆ/ಸಮೀಕ್ಷೆ,,,,,,,
,,Annual technical inspection,,ವಾರ್ಷಿಕ ತಾಂತ್ರಿಕ ಪರಿಶೀಲನೆ/ನಿರೀಕ್ಷಣೆ,,,,,,,
,,Annual value,,ವಾರ್ಷಿಕ ಮೌಲ್ಯ,,,,,,,
,,Annual verification,,"ವಾರ್ಷಿಕ ಲೆಕ್ಕ ಪರಿಶೀಲನೆ, ವಾರ್ಷಿಕ ಸತ್ಯಾಪನ",,,,,,,
,,Annuity,,ವರ್ಷಾಶನ,,,,,,,
,,Antedated cheque,,"ಹಿಂದಿನ ದಿನಾಂಕದ ಚೆಕ್‌, ಪೂರ್ವ ದಿನಾಂಕಿತ ಚೆಕ್‌",,,,,,,
,,Anticipated expenditure,,ನಿರೀಕ್ಷಿತ ವೆಚ್ಚ,,,,,,,
,,Anticipatory pension,,ಮುಂಗಡ ವಿಶ್ರಾಂತಿ ವೇತನ,,,,,,,
,,Anti-inflationary measure,,ಹಣದುಬ್ಬರ ವಿರೋಧಿ ಕ್ರಮ,,,,,,,
,,Appendix,,ಪರಿಶಿಷ್ಟ,,,,,,,
,,Application for withdrawal,,ಹಿಂಪಡೆ ಅರ್ಜಿ,,,,,,,
,,Appoint,,"ನೇಮಿಸು, ನಿಯಮಿಸು",,,,,,,
,,Appointed day,,"ಗೊತ್ತುಪಡಿಸಿದ ದಿನ, ನಿಯುಕ್ತ ದಿನ, ನಿಶ್ಚಿತ ದಿನ, ನಿಗದಿಪಡಿಸಿದ ದಿನ",,,,,,,
,,Appointed time,,"ಗೊತ್ತುಪಡಿಸಿದ ಕಾಲ, ನಿಗದಿಪಡಿಸಿದ ಕಾಲ, ನಿಯುಕ್ತ ಕಾಲ",,,,,,,
,,Approbate,,1. ಅಂಗೀಕರಿಸು 2. ಪ್ರಶಂಸಿಸು,,,,,,,
,,Appropriate,,"1. ಉಚಿತ, ಸೂಕ್ತ, ಸಮುಚಿತ, ಯೋಗ್ಯ 2. ವಿನಿಯೋಗಿಸಿಕೊ 3. ವಶಪಡಿಸಿಕೊ, ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊ",,,,,,,
,,Appropriate action,,ಸೂಕ್ತ ಕ್ರಮ,,,,,,,
,,Appropriate heads of classification,,ಸಮುಚಿತ ವರ್ಗೀಕರಣ ಶೀರ್ಷಿಕೆ,,,,,,,
,,Appropriation account,,ವಿನಿಯೋಗ ಲೆಕ್ಕ,,,,,,,
,,"Approval, financial",,ಆರ್ಥಿಕ ಅನುಮೋದನೆ,,,,,,,
,,Approximate cost,,"ಅಂದಾಜು ವೆಚ್ಚ, ಸರಿಸುಮಾರು ಬೆಲೆ",,,,,,,
,,Arithmetical accuracy,,"ಗಣಿತ ನಿಷ್ಕೃಷ್ಟತೆ, ಸಂಖ್ಯಾ ನಿಷ್ಕೃಷ್ಟತೆ",,,,,,,
,,Arrears,,ಬಾಕಿ,,,,,,,
,,Arrears claim,,ಬಾಕಿ ಕೋರಿಕೆ/ಕ್ಲೈಮ್,,,,,,,
,,Arrears statement,,ಬಾಕಿ ವಿವರಣಪತ್ರ,,,,,,,
,,Article,,"1. ಸರಕು ‌ 2. ವಸ್ತು, ವಿಷಯ 3. ಲೇಖನ 4. ನಿಯಮಾವಳಿ 5. ಅನುಚ್ಛೇದ",,,,,,,
,,As per cash book,,ನಗದು ಪುಸ್ತಕ ಪ್ರಕಾರ,,,,,,,
,,Assistant Director of Treasuries,,ಖಜಾನೆ ಸಹಾಯಕ ನಿರ್ದೇಶಕರು,,,,,,,
,,Assistant Treasury Officer,,ಖಜಾನೆ ಸಹಾಯಕ ಅಧಿಕಾರಿ,,,,,,,
,,Assistant Treasury Officer (Computer centre),,ಖಜಾನೆ ಸಹಾಯಕ ಅಧಿಕಾರಿ (ಕಂಪ್ಯೂಟರ್‌ ಕೇಂದ್ರ),,,,,,,
,,Assistant Treasury Officer (Treasury Inspection),,ಖಜಾನೆ ಸಹಾಯಕ ಅಧಿಕಾರಿ (ಖಜಾನೆ ಪರಿಶೀಲನೆ/ತನಿಖೆ),,,,,,,
,,At the close of the day,,"ದಿನದ ಕೊನೆಗೆ, ದಿನದ ಕೊನೆಯಲ್ಲಿ",,,,,,,
,,At the commencement of,,"ಪ್ರಾರಂಭದಲ್ಲಿ, ಆರಂಭದಲ್ಲಿ",,,,,,,
,,At the discretion of,,ವಿವೇಚನಾನುಸಾರವಾಗಿ,,,,,,,
,,At the end of,,"ಕೊನೆಗೆ, ಕೊನೆಯಲ್ಲಿ",,,,,,,
,,Attachment of pay and allowances,,ವೇತನ ಮತ್ತು ಭತ್ಯೆಗಳ ಜಪ್ತಿ,,,,,,,
,,Attachment order,,ಜಪ್ತಿ ಆದೇಶ,,,,,,,
,,Attest,,"ಸಾಕ್ಷಿ ರುಜುಹಾಕು, ಒಪ್ಪಿ ರುಜುಹಾಕು",,,,,,,
,,Audit,,ಲೆಕ್ಕ ಪರಿಶೋಧನೆ,,,,,,,
,,Audit objection,,ಲೆಕ್ಕ ಪರಿಶೋಧಕರ ಆಕ್ಷೇಪಣೆ,,,,,,,
,,Audit office,,ಲೆಕ್ಕ ಪರಿಶೋಧನಾಲಯ,,,,,,,
,,Audit officer,,ಲೆಕ್ಕ ಪರಿಶೋಧನಾಧಿಕಾರಿ,,,,,,,
,,Audit report,,"ಲೆಕ್ಕ ಪರಿಶೋಧನ ವರದಿ, ಲೆಕ್ಕ ತನಿಖೆಯ ವರದಿ",,,,,,,
,,Authoritative,,"ಅಧಿಕಾರಯುಕ್ತ, ಅಧಿಕೃತ",,,,,,,
,,Authority,,"ಅಧಿಕಾರ, ಪ್ರಾಧಿಕಾರ",,,,,,,
,,"Authority, competent",,ಸಕ್ಷಮ ಅಧಿಕಾರ/ ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Authorization,,ಅಧಿಕಾರ ನೀಡಿಕೆ,,,,,,,
,,Authorize,,ಅಧಿಕಾರ ನೀಡು,,,,,,,
,,Authorized agent,,ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ/ಏಜೆಂಟ್,,,,,,,
,,Average,,"ಸರಾಸರಿ, ಸಾಧಾರಣ",,,,,,,
,,Average pay,,ಸರಾಸರಿ ವೇತನ,,,,,,,
,,Bad debt,,"ಹಿಂದಿರುಗದ ಸಾಲ, ಮುಳುಗಿ ಹೋದ ಸಾಲ, ವಸೂಲಾಗದ ಸಾಲ",,,,,,,
,,Bad money,,"ಸಲ್ಲದ ಹಣ, ಅನ್ಯಾಯದ ಹಣ",,,,,,,
,,Bag,,"ಚೀಲ, ಥೈಲಿ",,,,,,,
,,Balance,,"ಶಿಲ್ಕು, ಬಾಕಿ",,,,,,,
,,Balance due,,"ಬಾಕಿ, ನಿಂತ ಬಾಕಿ, ಉಳಿದ ಬಾಕಿ",,,,,,,
,,Balance in hand,,ಕೈ ಶಿಲ್ಕು,,,,,,,
,,Balance sheet,,"ಜಮಾಖರ್ಚು ಪಟ್ಟಿ, ಸಂತುಲನ ಪತ್ರ/ಪಟ್ಟಿ ಬ್ಯಾಲೆನ್ಸ್‌ ಷೀಟ್",,,,,,,
,,Bank,,"ಹಣವ್ಯವಹಾರ ಸಂಸ್ಥೆ, ಬ್ಯಾಂಕ್",,,,,,,
,,Bank account,,ಬ್ಯಾಂಕ್‌ ಲೆಕ್ಕ,,,,,,,
,,Bank holiday,,ಬ್ಯಾಂಕ್‌ ರಜೆ,,,,,,,
,,Bank note,,ಬ್ಯಾಂಕ್‌ ನೋಟ್,,,,,,,
,,Bank Treasury,,ಬ್ಯಾಂಕ್‌ ಖಜಾನೆ,,,,,,,
,,Banker,,"ಬ್ಯಾಂಕ್‌ ನಡೆಸುವವನು, ಬ್ಯಾಂಕರ್",,,,,,,
,,Banking hours,,ಬ್ಯಾಂಕ್‌ ಕೆಲಸದ ವೇಳೆ,,,,,,,
,,Based on,,"ಆಧರಿಸಿದ, ಆಧೃತ",,,,,,,
,,Basic pay,,ಮೂಲ ವೇತನ,,,,,,,
,,Basic scale of pay,,ಮೂಲ ವೇತನ ಶ್ರೇಣಿ,,,,,,,
,,Bearer,,"ವಾಹಕ, ಬೇರರ್",,,,,,,
,,bearer cheque,,"ವಾಹಕ ಚೆಕ್‌, ಬೇರರ್‌ ಚೆಕ್",,,,,,,
,,Bearing interest,,"ಬಡ್ಡಿ ತರುವ, ಬಡ್ಡಿ ಸಹಿತ",,,,,,,
,,Bearing signature,,"ಹಸ್ತಾಕ್ಷರ ಇರುವ, ರುಜು ಹಾಕಿದ, ಸಹಿ ಹಾಕಿದ, ಸಹಿ ಇರುವ",,,,,,,
